dog, noun
cat, noun
bird, noun
cow, noun
pig, noun
mouse, noun
horse, noun
wing, noun
animal, noun

train, noun
plane, noun
car, noun
truck, noun
bicycle, noun
bus, noun
boat, noun
ship, noun
tire, noun
gasoline, noun
engine, noun
ticket, noun
transportation, noun

city, noun
house, noun
apartment, noun
street, noun
road, noun
airport, noun
train station, noun
bridge, noun
hotel, noun
restaurant, noun
farm, noun
court, noun
school, noun
office, noun
room, noun
town, noun
university, noun
club, noun
bar, noun
park, noun
camp, noun
store, noun
theater, noun
library, noun
hospital, noun
church, noun
market, noun
country, noun
building, noun
ground, noun
space, noun
bank, noun

hat, noun
dress, noun
suit, noun
skirt, noun
shirt, noun
T-shirt, noun
pants, noun
shoes, noun
pocket, noun
coat, noun
stain, noun
clothing, noun

red, adjective
green, adjective
blue, adjective
yellow, adjective
brown, adjective
pink, adjective
orange, adjective
black, adjective
white, adjective
gray, adjective
color, adjective

son, noun
daughter, noun
mother, noun
father, noun
parent, noun
baby, noun
man, noun
woman, noun
brother, noun
sister, noun
framily, noun
grandfather, noun
grandmother, noun
husband, noun
wife, noun
king, noun
queen, noun
president, noun
neighbor, noun
boy, noun
girl, noun
child, noun
adult, noun
human, noun
friend, noun
victim, noun
player, noun
fan, noun
crowd, noun
person, noun

teacher, noun
student, noun
lawyer, noun
doctor, noun
patient, noun
waiter, noun
secretary, noun
priest, noun
police, noun
army, noun
soldier, noun
artist, noun
author, noun
manager, noun
reporter, noun
actor, noun
job, noun

religion, noun
heaven, noun
hell, noun
death, noun
medicine, noun
money, noun
dollar, noun
bill, noun
marriage, noun
wedding, noun
team, noun
relationship, noun
race, noun
sex, noun
gender, noun
murder, noun
prison, noun
technology, noun
energy, noun
war, noun
peace, noun
attack, noun
election, noun
magazine, noun
newspaper, noun
poison, noun
gun, noun
sport, noun
race, noun
exercise, noun
ball, noun
game, noun
price, noun
contract, noun
drug, noun
sign, noun
science, noun
God, noun

Art, noun
band, noun
song, noun
instrument, noun
music, noun
movie, noun
art, noun

Beverages, noun
coffee, noun
tea, noun
wine, noun
beer, noun
juice, noun
water, noun
milk, noun
beverage, noun

Food, noun
egg, noun
cheese, noun
bread, noun
soup, noun
cake, noun
chicken, noun
pork, noun
beef, noun
apple, noun
banana, noun
orange, noun
lemon, noun
corn, noun
rice, noun
oil, noun
seed, noun
knife, noun
spoon, noun
fork, noun
plate, noun
cup, noun
breakfast, noun
lunch, noun
dinner, noun
sugar, noun
salt, noun
bottle, noun
